KA,KU,Tier,Level,Number,Learning Outcome,,,
IM,Information Storage and Retrieval,3,Familiarity,5,Describe some of the technical solutions to the problems related to archiving and preserving information in a digital library.,,,
,,,,,,,,
IM,Multimedia Systems,0,0,,,,,
IM,Multimedia Systems,3,Familiarity,1,Describe the media and supporting devices commonly associated with multimedia information and systems.,,,
IM,Multimedia Systems,3,Usage,2,Demonstrate the use of content-based information analysis in a multimedia information system.,,,
IM,Multimedia Systems,3,Assessment,3,"Critique multimedia presentations in terms of their appropriate use of audio, video, graphics, color, and other information presentation concepts.",,,
IM,Multimedia Systems,3,Usage,4,Implement a multimedia application using an authoring system.,,,
IM,Multimedia Systems,3,Familiarity,5,"For each of several media or multimedia standards, describe in non-technical language what the standard calls for, and explain how aspects of human perception might be sensitive to the limitations of that standard.",,,
IM,Multimedia Systems,3,Familiarity,6,Describe the characteristics of a computer system (including identification of support tools and appropriate standards) that has to host the implementation of one of a range of possible multimedia applications.,,,
,,,,,,,,
IS,Fundamental Issues,0,1,,,,,
IS,Fundamental Issues,2,Familiarity,1,Describe Turing test and the “Chinese Room” thought experiment.,,,
IS,Fundamental Issues,2,Familiarity,2,Differentiate between the concepts of optimal reasoning/behavior and human-like reasoning/behavior.,,,
IS,Fundamental Issues,2,Assessment,3,Determing the characteristics of a given problem that an intelligent systems must solve.,8/19/13,Revised,
,,,,,,,,
IS,Basic Search Strategies,0,4,,,,,
IS,Basic Search Strategies,2,Usage,1,"Formulate an efficient problem space for a problem expressed in natural language (eg, English) in terms of initial and goal states, and operators.",,,
IS,Basic Search Strategies,2,Familiarity,2,"Describe the role of heuristics and describe the trade-offs among completeness, optimality, time complexity, and space complexity.",,,
IS,Basic Search Strategies,2,Familiarity,3,Describe the problem of combinatorial explosion of search space and its consequences.,,,
IS,Basic Search Strategies,2,Usage,4,"Select and implement an appropriate uninformed search algorithm for a problem, and characterize its time and space complexities.",8/19/13,Changed level,
IS,Basic Search Strategies,2,Usage,5,Select and implement an appropriate informed search algorithm for a problem by designing the necessary heuristic evaluation function.,8/19/13,Changed level,
IS,Basic Search Strategies,2,Assessment,6,Evaluate whether a heuristic for a given problem is admissible/can guarantee optimal solution.,,,
IS,Basic Search Strategies,2,Usage,7,"Formulate a problem specified in natural language (eg, English) as a constraint satisfaction problem and implement it using a chronological backtracking algorithm or stochastic local search.",,,
IS,Basic Search Strategies,2,Familiarity,8,Compare and contrast basic search issues with game playing issues.,,,
,,,,,,,,
IS,Basic Knowledge Representation and Reasoning,0,3,,,,,
IS,Basic Knowledge Representation and Reasoning,2,Usage,1,"Translate a natural language (eg, English) sentence into predicate logic statement.",,,
IS,Basic Knowledge Representation and Reasoning,2,Usage,2,Convert a logic statement into clause form.,,,
IS,Basic Knowledge Representation and Reasoning,2,Usage,3,Apply resolution to a set of logic statements to answer a query.,,,
IS,Basic Knowledge Representation and Reasoning,2,Usage,4,Make a probabilistic inference in a real-world problem using Bayes’ theorem to determine the probability of a hypothesis given evidence.,8/19/13,Revised,
,,,,,,,,
IS,Basic Machine Learning,0,2,,,,,
IS,Basic Machine Learning,2,Familiarity,1,"List the differences among the three main styles of learning: supervised, reinforcement, and unsupervised.",,,
IS,Basic Machine Learning,2,Familiarity,2,"Identify examples of classification tasks, including the available input features and output to be predicted.",,,
IS,Basic Machine Learning,2,Familiarity,3,Explain the difference between inductive and deductive learning.,8/19/13,Changed level,
IS,Basic Machine Learning,2,Familiarity,4,Describe over-fitting in the context of a problem.,8/19/13,new,
IS,Basic Machine Learning,2,Usage,5,Apply the simple statistical learning algorithm such as Naive Bayesian Classifier to a classification task and measure the classifier's accuracy.,,,
,,,,,,,,
IS,Advanced Search,0,0,,,,,
IS,Advanced Search,3,Usage,1,Design and implement a genetic algorithm solution to a problem.,,,
IS,Advanced Search,3,Usage,2,Design and implement a simulated annealing schedule to avoid local minima in a problem.,,,
IS,Advanced Search,3,Usage,3,Design and implement A*/beam search to solve a problem.,,,
IS,Advanced Search,3,Usage,4,Apply minimax search with alpha-beta pruning to prune search space in a two-player game.,,,
IS,Advanced Search,3,Assessment,5,Compare and contrast genetic algorithms with classic search techniques.,,,
IS,Advanced Search,3,Assessment,6,Compare and contrast various heuristic searches vis-a-vis applicability to a given problem.,,,
,,,,,,,,
IS,Advanced Represenation and Reasoning,0,0,,,,,
IS,Advanced Represenation and Reasoning,3,Assessment,1,"Compare and contrast the most common models used for structured knowledge representation, highlighting their strengths and weaknesses.",,,
IS,Advanced Represenation and Reasoning,3,Familiarity,2,Identify the components of non-monotonic reasoning and its usefulness as a representational mechanisms for belief systems.,,,
IS,Advanced Represenation and Reasoning,3,Assessment,3,Compare and contrast the basic techniques for representing uncertainty.,8/19/13,Changed level,
IS,Advanced Represenation and Reasoning,3,Assessment,4,Compare and contrast the basic techniques for qualitative representation.,8/19/13,Changed level,
IS,Advanced Represenation and Reasoning,3,Usage,5,Apply situation and event calculus to problems of action and change.,,,
IS,Advanced Represenation and Reasoning,3,Familiarity,6,"Explain the distinction between temporal and spatial reasoning, and how they interrelate.",8/19/13,Changed level,
IS,Advanced Represenation and Reasoning,3,Familiarity,7,"Explain the difference between rule-based, case-based and model-based reasoning techniques.",8/19/13,Changed level,
IS,Advanced Represenation and Reasoning,3,Familiarity,8,Define the concept of a planning system and how it differs from classical search techniques.,8/19/13,Changed level,
IS,Advanced Represenation and Reasoning,3,Familiarity,9,"Describe the differences between planning as search, operator-based planning, and propositional planning, providing examples of domains where each is most applicable.",8/19/13,Changed level,
IS,Advanced Represenation and Reasoning,3,Familiarity,10,Explain the distinction between monotonic and non-monotonic inference.,,,
,,,,,,,,
IS,Reasoning Under Uncertainty,0,0,,,,,
IS,Reasoning Under Uncertainty,3,Usage,1,Apply Bayes’ rule to determine the probability of a hypothesis given evidence.,,,
IS,Reasoning Under Uncertainty,3,Assessment,2,Explain how conditional independence assertions allow for greater efficiency of probabilistic systems.,,,
IS,Reasoning Under Uncertainty,3,Familiarity,3,Identify examples of knowledge representations for reasoning under uncertainty.,,,
IS,Reasoning Under Uncertainty,3,Familiarity,4,State the complexity of exact inference  Identify methods for approximate inference.,,,
IS,Reasoning Under Uncertainty,3,Usage,5,Design and implement at least one knowledge representation for reasoning under uncertainty.,,,
IS,Reasoning Under Uncertainty,3,Familiarity,6,Describe the complexities of temporal probabilistic reasoning.,,,
IS,Reasoning Under Uncertainty,3,Usage,7,Design and implement an HMM as one example of a temporal probabilistic system.,8/19/13,Deleted outcome,
IS,Reasoning Under Uncertainty,3,Familiarity,8,Describe the relationship between preferences and utility functions.,,,
IS,Reasoning Under Uncertainty,3,Assessment,9,Explain how utility functions and probabilistic reasoning can be combined to make rational decisions.,,,
,,,,,,,,
IS,Agents,0,0,,,,,
IS,Agents,3,Familiarity,1,List the defining characteristics of an intelligent agent.,,,
IS,Agents,3,Assessment,2,Characterize and contrast the standard agent architectures.,,,
IS,Agents,3,Familiarity,3,"Describe the applications of agent theory to domains such as software agents, personal assistants, and believable agents.",,,
IS,Agents,3,Familiarity,4,Describe the primary paradigms used by learning agents.,,,
IS,Agents,3,Usage,5,Demonstrate using appropriate examples how multi-agent systems support agent interaction.,,,
,,,,,,,,
IS,Natural Language Processing,0,0,,,,,
IS,Natural Language Processing,3,Assessment,1,"Define and contrast deterministic and stochastic grammars, providing examples to show the adequacy of each.",,,
IS,Natural Language Processing,3,Usage,2,"Simulate, apply, or implement classic and stochastic algorithms for parsing natural language.",,,
IS,Natural Language Processing,3,Familiarity,3,Identify the challenges of representing meaning.,,,
IS,Natural Language Processing,3,Familiarity,4,List the advantages of using standard corpora  Identify examples of current corpora for a variety of NLP tasks.,,,
IS,Natural Language Processing,3,Familiarity,5,"Identify techniques for information retrieval, language translation, and text classification.",,,
,,,,,,,,
IS,Advanced Machine Learning,0,0,,,,,
IS,Advanced Machine Learning,3,Familiarity,1,"Explain the differences among the three main styles of learning: supervised, reinforcement, and unsupervised.",,,
IS,Advanced Machine Learning,3,Usage,2,"Implement simple algorithms for supervised learning, reinforcement learning, and unsupervised learning.",,,
IS,Advanced Machine Learning,3,Usage,3,Determine which of the three learning styles is appropriate to a particular problem domain.,,,
IS,Advanced Machine Learning,3,Assessment,4,"Compare and contrast each of the following techniques, providing examples of when each strategy is superior: decision trees, neural networks, and belief networks.",,,
IS,Advanced Machine Learning,3,Assessment,5,Evaluate the performance of a simple learning system on a real-world dataset.,,,
IS,Advanced Machine Learning,3,Familiarity,6,"Characterize the state of the art in learning theory, including its achievements and its shortcomings.",,,
IS,Advanced Machine Learning,3,Usage,7,"Explain the problem of overfitting, along with techniques for detecting and managing the problem.",,,
,,,,,,,,
IS,Robotics,0,0,,,,,
IS,Robotics,3,Familiarity,1,"List capabilities and limitations of today's state-of-the-art robot systems, including their sensors and the crucial sensor processing that informs those systems.",,,
IS,Robotics,3,Usage,2,"Integrate sensors, actuators, and software into a robot designed to undertake some task.",,,
IS,Robotics,3,Usage,3,"Program a robot to accomplish simple tasks using deliberative, reactive, and/or hybrid control architectures.",,,
IS,Robotics,3,Usage,4,Implement fundamental motion planning algorithms within a robot configuration space.,,,
IS,Robotics,3,Familiarity,5,Characterize the uncertainties associated with common robot sensors and actuators; articulate strategies for mitigating these uncertainties.,,,
IS,Robotics,3,Familiarity,6,"List the differences among robots' representations of their external environment, including their strengths and shortcomings.",,,
IS,Robotics,3,Assessment,7,"Compare and contrast at least three strategies for robot navigation within known and/or unknown environments, including their strengths and shortcomings.",,,
IS,Robotics,3,Familiarity,8,Describe at least one approach for coordinating the actions and sensing of several robots to accomplish a single task.,,,
,,,,,,,,
IS,Perception and Computer Vision,0,0,,,,,
IS,Perception and Computer Vision,3,Familiarity,1,Summarize the importance of image and object recognition in AI and indicate several significant applications of this technology.,,,
IS,Perception and Computer Vision,3,Familiarity,2,"List at least three image-segmentation approaches, such as thresholding, edge-based and region-based algorithms, along with their defining characteristics, strengths, and weaknesses.",,,
IS,Perception and Computer Vision,3,Usage,3,Implement 2d object recognition based on contour- and/or region-based shape representations.,,,
IS,Perception and Computer Vision,3,Familiarity,4,"Distinguish the goals of sound-recognition, speech-recognition, and speaker-recognition and identify how the raw audio signal will be handled differently in each of these cases.",,,
IS,Perception and Computer Vision,3,Familiarity,5,"Provide at least two examples of a transformation of a data source from one sensory domain to another, eg, tactile data interpreted as single-band 2d images.",,,
IS,Perception and Computer Vision,3,Usage,6,"Implement a feature-extraction algorithm on real data, eg, an edge or corner detector for images or vectors of Fourier coefficients describing a short slice of audio signal.",,,
IS,Perception and Computer Vision,3,Usage,7,"Implement an algorithm combining features into higher-level percepts, eg, a contour or polygon from visual primitives or phoneme hypotheses from an audio signal.",,,
IS,Perception and Computer Vision,3,Usage,8,Implement a classification algorithm that segments input percepts into output categories and quantitatively evaluates the resulting classification.,,,
IS,Perception and Computer Vision,3,Assessment,9,"Evaluate the performance of the underlying feature-extraction, relative to at least one alternative possible approach (whether implemented or not) in its contribution to the classification task (8), above.",,,
IS,Perception and Computer Vision,3,Familiarity,10,"Describe at least three classification approaches, their prerequisites for applicability, their strengths, and their shortcomings.",,,
,,,,,,,,
NC,Introduction,1.5,0,,,,,
NC,Introduction,1,Familiarity,1,Articulate the organization of the Internet.,,,
NC,Introduction,1,Familiarity,2,List and define the appropriate network terminology.,,,
NC,Introduction,1,Familiarity,3,Describe the layered structure of a typical networked architecture.,,,
NC,Introduction,1,Familiarity,4,"Identify the different types of complexity in a network (edges, core, etc).",,,
,,,,,,,,
NC,Networked Applications,1.5,0,,,,,
NC,Networked Applications,1,Familiarity,1,List the differences and the relations between names and addresses in a network.,,,
NC,Networked Applications,1,Familiarity,2,Define the principles behind naming schemes and resource location.,,,
NC,Networked Applications,1,Usage,3,Implement a simple client-server socket-based application.,,,
,,,,,,,,
NC,Reliable Data Delivery,0,2,,,,,
NC,Reliable Data Delivery,2,Familiarity,1,Describe the operation of reliable delivery protocols.,,,
NC,Reliable Data Delivery,2,Familiarity,2,List the factors that affect the performance of reliable delivery protocols.,,,
NC,Reliable Data Delivery,2,Usage,3,Design and implement a simple reliable protocol.,,,
,,,,,,,,
NC,Routing and Forwarding,0,1.5,,,,,
NC,Routing and Forwarding,2,Familiarity,1,Describe the organization of the network layer.,,,
NC,Routing and Forwarding,2,Familiarity,2,Describe how packets are forwarded in an IP network.,,,
NC,Routing and Forwarding,2,Familiarity,3,List the scalability benefits of hierarchical addressing.,,,
,,,,,,,,
NC,Local Area Networks,0,1.5,,,,,
NC,Local Area Networks,2,Familiarity,1,Describe how frames are forwarded in an Ethernet network.,,,
NC,Local Area Networks,2,Familiarity,2,Describe the differences between IP and Ethernet.,8/19/13,Revised,
NC,Local Area Networks,2,Familiarity,3,Describe the interrelations between IP and Ethernet.,8/19/13,Revised,
NC,Local Area Networks,2,Familiarity,4,Describe the steps used in one common approach to the multiple access problem.,8/19/13,Revised,
,,,,,,,,
NC,Resource Allocation,0,1,,,,,
NC,Resource Allocation,2,Familiarity,1,Describe how resources can be allocated in a network.,,,
NC,Resource Allocation,2,Familiarity,2,Describe the congestion problem in a large network.,,,
NC,Resource Allocation,2,Assessment,3,Compare and contrast fixed and dynamic allocation techniques.,,,
NC,Resource Allocation,2,Assessment,4,Compare and contrast current approaches to congestion.,,,
,,,,,,,,
NC,Mobility,0,1,,,,,
NC,Mobility,2,Familiarity,1,Describe the organization of a wireless network.,,,
NC,Mobility,2,Familiarity,2,Describe how wireless networks support mobile users.,,,
,,,,,,,,
NC,Social Networking,0,0,,,,,
NC,Social Networking,3,Familiarity,1,"Discuss the key principles (such as membership, trust) of social networking.",,,
NC,Social Networking,3,Familiarity,2,Describe how existing social networks operate.,,,
NC,Social Networking,3,Usage,3,Construct a social network graph from network data.,,,
NC,Social Networking,3,Usage,4,Analyze a social network to determine who the key people are.,,,
NC,Social Networking,3,Assessment,5,Evaluate a given interpretation of a social network question with associated data.,,,
,,,,,,,,
OS,Overview of Operating Systems,2,0,,,,,
OS,Overview of Operating Systems,1,Familiarity,1,Explain the objectives and functions of modern operating systems.,,,
OS,Overview of Operating Systems,1,Usage,2,Analyze the tradeoffs inherent in operating system design.,,,
OS,Overview of Operating Systems,1,Familiarity,3,"Describe the functions of a contemporary operating system with respect to convenience, efficiency, and the ability to evolve.",,,
OS,Overview of Operating Systems,1,Familiarity,4,"Discuss networked, client-server, distributed operating systems and how they differ from single user operating systems.",,,
OS,Overview of Operating Systems,1,Familiarity,5,Identify potential threats to operating systems and the security features design to guard against them.,,,
,,,,,,,,
OS,Operating System Principles,2,0,,,,,
OS,Operating System Principles,1,Familiarity,1,Explain the concept of a logical layer.,,,
OS,Operating System Principles,1,Familiarity,2,Explain the benefits of building abstract layers in hierarchical fashion.,,,
OS,Operating System Principles,1,Assessment,3,Describe the value of APIs and middleware.,8/19/13,Revised,
OS,Operating System Principles,1,Familiarity,4,Describe how computing resources are used by application software and managed by system software.,,,
OS,Operating System Principles,1,Usage,5,Contrast kernel and user mode in an operating system.,,,
OS,Operating System Principles,1,Familiarity,6,Discuss the advantages and disadvantages of using interrupt processing.,,,
OS,Operating System Principles,1,Familiarity,7,Explain the use of a device list and driver I/O queue.,,,
,,,,,,,,
OS,Concurrency,0,3,,,,,
OS,Concurrency,2,Familiarity,1,Describe the need for concurrency within the framework of an operating system.,,,
OS,Concurrency,2,Usage,2,Demonstrate the potential run-time problems arising from the concurrent operation of many separate tasks.,,,
OS,Concurrency,2,Familiarity,3,Summarize the range of mechanisms that can be employed at the operating system level to realize concurrent systems and describe the benefits of each.,,,
OS,Concurrency,2,Familiarity,4,Explain the different states that a task may pass through and the data structures needed to support the management of many tasks.,,,
OS,Concurrency,2,Familiarity,5,"Summarize techniques for achieving synchronization in an operating system (eg, describe how to implement a semaphore using OS primitives).",,,
OS,Concurrency,2,Familiarity,6,"Describe reasons for using interrupts, dispatching, and context switching to support concurrency in an operating system.",,,
OS,Concurrency,2,Usage,7,Create state and transition diagrams for simple problem domains.,,,
,,,,,,,,
OS,Scheduling and Dispatch,0,3,,,,,
OS,Scheduling and Dispatch,2,Usage,1,"Compare and contrast the common algorithms used for both preemptive and non-preemptive scheduling of tasks in operating systems, such as priority, performance comparison, and fair-share schemes.",,,
OS,Scheduling and Dispatch,2,Familiarity,2,Describe relationships between scheduling algorithms and application domains.,,,
OS,Scheduling and Dispatch,2,Familiarity,3,"Discuss the types of processor scheduling such as short-term, medium-term, long-term, and I/O.",,,
OS,Scheduling and Dispatch,2,Usage,4,Describe the difference between processes and threads.,,,
OS,Scheduling and Dispatch,2,Usage,5,Compare and contrast static and dynamic approaches to real-time scheduling.,,,
OS,Scheduling and Dispatch,2,Familiarity,6,Discuss the need for preemption and deadline scheduling.,,,
OS,Scheduling and Dispatch,2,Usage,7,"Identify ways that the logic embodied in scheduling algorithms are applicable to other domains, such as disk I/O, network scheduling, project scheduling, and problems beyond computing.",,,
,,,,,,,,
OS,Memory Management,0,3,,,,,
OS,Memory Management,2,Familiarity,1,Explain memory hierarchy and cost-performance trade-offs.,,,
OS,Memory Management,2,Familiarity,2,Summarize the principles of virtual memory as applied to caching and paging.,,,
OS,Memory Management,2,Assessment,3,"Evaluate the trade-offs in terms of memory size (main memory, cache memory, auxiliary memory) and processor speed.",,,
OS,Memory Management,2,Assessment,4,"Defend the different ways of allocating memory to tasks, citing the relative merits of each.",,,
OS,Memory Management,2,Familiarity,5,"Describe the reason for and use of cache memory (performance and proximity, different dimension of how caches complicate isolation and VM abstraction).",,,
OS,Memory Management,2,Familiarity,6,"Discuss the concept of thrashing, both in terms of the reasons it occurs and the techniques used to recognize and manage the problem.",,,
,,,,,,,,
OS,Security and Protection,0,2,,,,,
OS,Security and Protection,2,Assessment,1,Articulate the need for protection and security in an OS (cross reference IAS/Security Architecture and Systems Administration/Investigating Operating Systems Security for various systems).,8/19/13,Revised,
OS,Security and Protection,2,Familiarity,2,Summarize the features and limitations of an operating system used to provide protection and security (cross reference IAS/Security Architecture and Systems Administration).,8/19/13,Revised,
OS,Security and Protection,2,Familiarity,3,Explain the mechanisms available in an OS to control access to resources (cross reference IAS/Security Architecture and Systems Administration/Access Control/Configuring systems to operate securely as an IT system).,8/19/13,Revised,
OS,Security and Protection,2,Usage,4,"Carry out simple system administration tasks according to a security policy, for example creating accounts, setting permissions, applying patches, and arranging for regular backups (cross reference IAS/Security Architecture and Systems Administration ).",8/19/13,Revised,
,,,,,,,,
OS,Virtual Machines,0,0,,,,,
OS,Virtual Machines,3,Familiarity,1,Explain the concept of virtual memory and how it is realized in hardware and software.,,,
OS,Virtual Machines,3,Familiarity,2,Differentiate emulation and isolation.,,,
OS,Virtual Machines,3,Assessment,3,Evaluate virtualization trade-offs.,,,
OS,Virtual Machines,3,Usage,4,Discuss hypervisors and the need for them in conjunction with different types of hypervisors.,,,
,,,,,,,,
OS,Device Management,0,0,,,,,
OS,Device Management,3,Familiarity,1,Explain the key difference between serial and parallel devices and identify the conditions in which each is appropriate.,,,
OS,Device Management,3,Usage,2,Identify the relationship between the physical hardware and the virtual devices maintained by the operating system.,,,
OS,Device Management,3,Familiarity,3,Explain buffering and describe strategies for implementing it.,,,
OS,Device Management,3,Usage,4,"Differentiate the mechanisms used in interfacing a range of devices (including hand-held devices, networks, multimedia) to a computer and explain the implications of these for the design of an operating system.",,,
OS,Device Management,3,Usage,5,Describe the advantages and disadvantages of direct memory access and discuss the circumstances in which its use is warranted.,,,
OS,Device Management,3,Familiarity,6,Identify the requirements for failure recovery.,,,
OS,Device Management,3,Usage,7,Implement a simple device driver for a range of possible devices.,,,
,,,,,,,,
OS,File Systems,0,0,,,,,
OS,File Systems,3,Familiarity,1,Describe the choices to be made in designing file systems.,8/19/13,Revised,
OS,File Systems,3,Usage,2,"Compare and contrast different approaches to file organization, recognizing the strengths and weaknesses of each.",,,
OS,File Systems,3,Familiarity,3,Summarize how hardware developments have led to changes in the priorities for the design and the management of file systems.,,,
OS,File Systems,3,Familiarity,4,Summarize the use of journaling and how log-structured file systems enhance fault tolerance.,,,
,,,,,,,,
OS,Real Time and Embedded Systems,0,0,,,,,
OS,Real Time and Embedded Systems,3,Familiarity,1,Describe what makes a system a real-time system.,,,
OS,Real Time and Embedded Systems,3,Familiarity,2,Explain the presence of and describe the characteristics of latency in real-time systems.,,,
OS,Real Time and Embedded Systems,3,Familiarity,3,"Summarize special concerns that real-time systems present, including risk, and how these concerns are addressed.",,,
,,,,,,,,
OS,Fault Tolerance,0,0,,,,,
OS,Fault Tolerance,3,Familiarity,1,"Explain the relevance of the terms fault tolerance, reliability, and availability.",,,
OS,Fault Tolerance,3,Familiarity,2,Outline the range of methods for implementing fault tolerance in an operating system.,,,
OS,Fault Tolerance,3,Familiarity,3,Explain how an operating system can continue functioning after a fault occurs.,,,
,,,,,,,,
OS,System Performance Evaluation,0,0,,,,,
OS,System Performance Evaluation,3,Familiarity,1,Describe the performance measurements used to determine how a system performs.,,,
OS,System Performance Evaluation,3,Familiarity,2,Explain the main evaluation models used to evaluate a system.,,,
,,,,,,,,
PBD,Introduction,0,0,,,,,
PBD,Introduction,3,Familiarity,1,Describe how platform-based development differs from general purpose programming.,,,
PBD,Introduction,3,Familiarity,2,List characteristics of platform languages.,,,
PBD,Introduction,3,Usage,3,Write and execute a simple platform-based program.,,,
PBD,Introduction,3,Familiarity,4,List the advantages and disadvantages of programming with platform constraints.,,,
,,,,,,,,
PBD,Web Platforms,0,0,,,,,
PBD,Web Platforms,3,Usage,1,Design and Implement a simple web application.,,,
PBD,Web Platforms,3,Familiarity,2,Describe the constraints that the web puts on developers.,,,
PBD,Web Platforms,3,Assessment,3,Compare and contrast web programming with general purpose programming.,,,
PBD,Web Platforms,3,Familiarity,4,Describe the differences between Software-as-a-Service and traditional software products.,,,
PBD,Web Platforms,3,Familiarity,5,Discuss how web standards impact software development.,8/19/13,Changed Level,
PBD,Web Platforms,3,Assessment,6,Review an existing web application against a current web standard.,8/19/13,Changed Level,
,,,,,,,,
PBD,Mobile Platforms,0,0,,,,,
PBD,Mobile Platforms,3,Usage,1,Design and implement a mobile application for a given mobile platform.,,,
PBD,Mobile Platforms,3,Familiarity,2,Discuss the constraints that mobile platforms put on developers.,,,
PBD,Mobile Platforms,3,Familiarity,3,Discuss the performance vs power tradeoff.,,,
PBD,Mobile Platforms,3,Assessment,4,Compare and Contrast mobile programming with general purpose programming.,,,
,,,,,,,,
PBD,Industrial Platforms,0,0,,,,,
PBD,Industrial Platforms,3,Usage,1,"Design and implement an industrial application on a given platform (eg, using Lego Mindstorms or Matlab).",,,
PBD,Industrial Platforms,3,Assessment,2,Compare and contrast domain specific languages with general purpose programming languages.,,,
PBD,Industrial Platforms,3,Familiarity,3,Discuss the constraints that a given industrial platforms impose on developers.,,,
,,,,,,,,
PBD,Game Platforms,0,0,,,,,
PBD,Game Platforms,3,Usage,1,Design and Implement a simple application on a game platform.,,,
PBD,Game Platforms,3,Familiarity,2,Describe the constraints that game platforms impose on developers.,,,
PBD,Game Platforms,3,Assessment,3,Compare and contrast game programming with general purpose programming.,,,
,,,,,,,,
PD,Parallelism Fundamentals,2,0,,,,,
PD,Parallelism Fundamentals,1,Familiarity,1,Distinguish using computational resources for a faster answer from managing efficient access to a shared resource.,,,
PD,Parallelism Fundamentals,1,Familiarity,2,Distinguish multiple sufficient programming constructs for synchronization that may be inter-implementable but have complementary advantages.,,,
PD,Parallelism Fundamentals,1,Familiarity,3,Distinguish data races from higher level races.,,,
,,,,,,,,
PD,Parallel Decomposition,1,2,,,,,
PD,Parallel Decomposition,1,Usage,1,Explain why synchronization is necessary in a specific parallel program.,,,
PD,Parallel Decomposition,2,Familiarity,2,Identify opportunities to partition a serial program into independent parallel modules.,8/19/13,Revised,
PD,Parallel Decomposition,2,Usage,3,Write a correct and scalable parallel algorithm.,,,
PD,Parallel Decomposition,2,Usage,4,Parallelize an algorithm by applying task-based decomposition.,8/19/13,Revised,
PD,Parallel Decomposition,2,Usage,5,Parallelize an algorithm by applying data-parallel decomposition.,8/19/13,Revised,
PD,Parallel Decomposition,2,Usage,6,Write a program using actors and/or reactive processes.,8/19/13,New,
,,,,,,,,
PD,Communication and Coordination,1,3,,,,,
PD,Communication and Coordination,1,Usage,1,Use mutual exclusion to avoid a given race condition.,,,
PD,Communication and Coordination,2,Familiarity,2,"Give an example of an ordering of accesses among concurrent activities (eg, program with a data race) that is not sequentially consistent.",,,
PD,Communication and Coordination,2,Usage,3,Give an example of a scenario in which blocking message sends can deadlock.,,,
PD,Communication and Coordination,2,Familiarity,4,Explain when and why multicast or event-based messaging can be preferable to alternatives.,,,
PD,Communication and Coordination,2,Usage,5,Write a program that correctly terminates when all of a set of concurrent tasks have completed.,,,
PD,Communication and Coordination,2,Usage,6,Use a properly synchronized queue to buffer data passed among activities.,,,
PD,Communication and Coordination,2,Familiarity,7,"Explain why checks for preconditions, and actions based on these checks, must share the same unit of atomicity to be effective.",,,
PD,Communication and Coordination,2,Usage,8,"Write a test program that can reveal a concurrent programming error; for example, missing an update when two activities both try to increment a variable.",,,
PD,Communication and Coordination,2,Familiarity,9,Describe at least one design technique for avoiding liveness failures in programs using multiple locks or semaphores.,,,
PD,Communication and Coordination,2,Familiarity,10,Describe the relative merits of optimistic versus conservative concurrency control under different rates of contention among updates.,,,
PD,Communication and Coordination,2,Familiarity,11,Give an example of a scenario in which an attempted optimistic update may never complete.,,,
PD,Communication and Coordination,3,Usage,12,Use semaphores or condition variables to block threads until a necessary precondition holds.,,,
,,,,,,,,
PD,"Parallel Algorithms, Analysis, and Programming",0,3,,,,,
PD,"Parallel Algorithms, Analysis, and Programming",2,Familiarity,1,"Define “critical path”, “work”, and “span”.",,,
PD,"Parallel Algorithms, Analysis, and Programming",2,Usage,2,"Compute the work and span, and determine the critical path with respect to a parallel execution diagram.",,,
PD,"Parallel Algorithms, Analysis, and Programming",2,Familiarity,3,Define “speed-up” and explain the notion of an algorithm’s scalability in this regard.,,,
PD,"Parallel Algorithms, Analysis, and Programming",2,Usage,4,Identify independent tasks in a program that may be parallelized.,,,
PD,"Parallel Algorithms, Analysis, and Programming",2,Familiarity,5,Characterize features of a workload that allow or prevent it from being naturally parallelized.,,,
PD,"Parallel Algorithms, Analysis, and Programming",2,Usage,6,Implement a parallel divide-and-conquer (and/or graph algorithm) and empirically measure its performance relative to its sequential analog.,,,
PD,"Parallel Algorithms, Analysis, and Programming",2,Usage,7,"Decompose a problem (eg, counting the number of occurrences of some word in a document) via map and reduce operations.",,,
PD,"Parallel Algorithms, Analysis, and Programming",3,Familiarity,8,Provide an example of a problem that fits the producer-consumer paradigm.,,,
PD,"Parallel Algorithms, Analysis, and Programming",3,Familiarity,9,Give examples of problems where pipelining would be an effective means of parallelization.,,,
PD,"Parallel Algorithms, Analysis, and Programming",3,Usage,10,Implement a parallel matrix algorithm.,8/19/13,New,
PD,"Parallel Algorithms, Analysis, and Programming",3,Familiarity,11,Identify issues that arise in producer-consumer algorithms and mechanisms that may be used for addressing them.,,,
,,,,,,,,
PD,Parallel Architecture,1,2,,,,,
PD,Parallel Architecture,1,Familiarity,1,Explain the differences between shared and distributed memory.,,,
PD,Parallel Architecture,2,Familiarity,2,Describe the SMP architecture and note its key features.,,,
PD,Parallel Architecture,2,Familiarity,3,Characterize the kinds of tasks that are a natural match for SIMD machines.,,,
PD,Parallel Architecture,3,Familiarity,4,Describe the advantages and limitations of GPUs vs CPUs.,8/19/13,New,
PD,Parallel Architecture,3,Familiarity,5,Explain the features of each classification in Flynn’s taxonomy.,,,
PD,Parallel Architecture,3,Familiarity,6,Describe assembly-level support for atomic operations.,,,
PD,Parallel Architecture,3,Familiarity,7,Describe the challenges in maintaining cache coherence.,8/19/13,new,
